gid,grid_rank,RiskScore_A_grid,RiskScore_A_norm_grid,예상_감소량_상대,적용후_위험도,is_top15,grid_area,piece_count
다사726436,1,0.6658452439625432,1.0,0.1,0.9,True,3.016559092729106,1
다사744485,2,0.6658452439625432,1.0,0.1,0.9,True,223.31194728305522,1
다사746484,3,0.6658452439625432,1.0,0.1,0.9,True,842.8522944887211,1
다사747485,4,0.6658452439625432,1.0,0.1,0.9,True,578.7483127557881,1
다사753488,5,0.6658452439625432,1.0,0.1,0.9,True,403.68633744659166,1
다사754476,6,0.6658452439625431,1.0,0.1,0.9,True,96.92817654385544,1
다사755485,7,0.6658452439625432,1.0,0.1,0.9,True,387.2698831122629,1
다사748486,8,0.6078371060247679,0.9128804501289814,0.09128804501289815,0.8215924051160833,True,1809.9542676772414,2
다사757484,9,0.6030284083446971,0.9056585052045819,0.0905658505204582,0.8150926546841237,True,2136.0488462597996,2
다사754486,10,0.5866436742590484,0.8810510844349437,0.08810510844349438,0.7929459759914493,True,2207.2866843954093,2
다사750488,11,0.5685144481494538,0.8538236974798237,0.08538236974798237,0.7684413277318413,True,1929.041397894339,3
다사749487,12,0.5490082431039827,0.824528294047358,0.0824528294047358,0.7420754646426222,True,2232.817936673215,2
다사747484,13,0.5054903095331791,0.7591708645764769,0.07591708645764769,0.6832537781188291,True,6816.074246237231,2
다사743485,14,0.48526262684279026,0.7287919095958707,0.07287919095958707,0.6559127186362836,True,3761.0010820373645,2
다사738468,15,0.47149257161896974,0.7081113455328568,0.07081113455328568,0.6373002109795711,True,10000.000000046593,6
다사740467,16,0.43936540932642626,0.6598611513866164,0.06598611513866164,0.5938750362479548,True,4544.0669981959145,6
다사729448,17,0.4223024016465231,0.6342350650931128,0.06342350650931128,0.5708115585838015,True,10000.000000290642,9
다사731451,18,0.4209187755726666,0.6321570656083941,0.06321570656083941,0.5689413590475547,True,9999.999999959737,11
다사731470,19,0.41943119936630674,0.6299229485671622,0.06299229485671623,0.566930653710446,True,9999.99999995218,7
다사745484,20,0.4059767357242529,0.6097163558730637,0.06097163558730637,0.5487447202857574,True,4859.768614666389,2
다사737469,21,0.40502765649146316,0.6082909807706726,0.06082909807706726,0.5474618826936053,True,9999.999999939493,8
다사753487,22,0.39361064187432443,0.5911443318749104,0.059114433187491044,0.5320298986874195,True,5564.407035583921,4
다사739468,23,0.39197363105389854,0.5886857863866469,0.058868578638664695,0.5298172077479822,True,9999.997946646403,11
다사746483,24,0.3860743685023204,0.5798259760852761,0.057982597608527614,0.5218433784767484,True,9835.76490770782,3
다사726443,25,0.3728878865276947,0.5600218517873371,0.05600218517873371,0.5040196666086034,True,9999.999834317401,10
다사743478,26,0.3725871206502241,0.5595701464095519,0.0559570146409552,0.5036131317685968,True,10000.00000005323,6
다사729470,27,0.35788592506999123,0.5374911487542651,0.05374911487542651,0.4837420338788386,True,10000.00000000471,11
다사731461,28,0.3573796553601119,0.5367308073469037,0.053673080734690376,0.48305772661221336,True,10000.000000048925,5
다사740471,29,0.35709841332192405,0.5363084238565388,0.05363084238565388,0.4826775814708849,True,9999.999673128359,8
다사737464,30,0.35386447597737963,0.5314515334997063,0.053145153349970636,0.4783063801497357,True,9999.999999921047,7
다사737459,31,0.34980740758801154,0.5253584233871764,0.052535842338717643,0.47282258104845876,True,9999.999999947644,5
다사739469,32,0.34950994451258116,0.5249116783242243,0.05249116783242243,0.47242051049180184,True,9999.99999554694,13
다사756484,33,0.3467352291921875,0.5207444707853061,0.05207444707853061,0.46867002370677546,True,5982.610128888152,2
다사731459,34,0.34438620314329205,0.5172165848835969,0.05172165848835969,0.4654949263952372,True,9999.99999999677,9
다사723451,35,0.34010370139574814,0.510784907573629,0.051078490757362906,0.4597064168162661,True,1556.9609165340735,5
다사728453,36,0.3384681221074214,0.5083285120325373,0.05083285120325373,0.4574956608292835,True,9999.996654351622,6
다사738467,37,0.3379385013844676,0.5075331008949554,0.050753310089495546,0.45677979080545983,True,10000.000085802722,9
다사737461,38,0.3356728654570615,0.5041304544873262,0.050413045448732624,0.4537174090385936,True,10000.00000008611,7
다사745482,39,0.33424323603041595,0.501983364845088,0.050198336484508804,0.4517850283605792,True,9999.999999971862,4
다사741474,40,0.3317936637869898,0.4983044735927478,0.049830447359274783,0.44847402623347304,True,9999.999999964242,3
다사748483,41,0.327905488095116,0.49246501505920814,0.04924650150592082,0.44321851355328734,True,9999.999654801255,7
다사733474,42,0.32778201998860734,0.49227958442404457,0.04922795844240446,0.4430516259816401,True,9999.999999930675,7
다사745481,43,0.32069672049437814,0.4816385239697211,0.048163852396972115,0.433474671572749,True,9999.99999993399,4
다사744479,44,0.3199234518861201,0.4804771901383698,0.04804771901383698,0.43242947112453284,True,8705.275284288466,7
다사738469,45,0.3178941203212094,0.47742943755124634,0.04774294375512464,0.42968649379612167,True,10000.000000063947,9
다사750481,46,0.3175911622454831,0.47697443981945603,0.04769744398194561,0.42927699583751044,True,9999.999999810356,13
다사731468,47,0.3167693340261226,0.47574017671280733,0.047574017671280736,0.4281661590415266,True,10000.000000070091,7
다사737482,48,0.31546877315741184,0.4737869287464016,0.047378692874640166,0.42640823587176147,True,747.1422453837745,2
다사752480,49,0.31535608226690653,0.47361768387827785,0.04736176838782779,0.42625591549045005,True,9999.999194649286,6
다사752488,50,0.31482825977634704,0.4728249734168824,0.04728249734168824,0.42554247607519413,True,6264.784465918581,2
다사754485,51,0.31419350761591996,0.4718716705793497,0.04718716705793497,0.42468450352141474,True,8362.824321464575,3
다사750482,52,0.31298593333213837,0.47005807456025805,0.04700580745602581,0.42305226710423227,True,9999.999999973968,9
다사731465,53,0.31129725918122264,0.4675219384742418,0.046752193847424184,0.4207697446268176,True,10003.383814223833,8
다사750478,54,0.30982984231872907,0.4653180977532948,0.04653180977532948,0.4187862879779653,True,2083.3099136504998,2
다사751481,55,0.3093787338676905,0.4646406003090629,0.04646406003090629,0.4181765402781566,True,9999.999999954847,7
다사735470,56,0.3092895796588038,0.4645067040175521,0.04645067040175521,0.4180560336157969,True,10000.000000028696,10
다사751488,57,0.3059743089999777,0.4595276631835342,0.045952766318353426,0.4135748968651808,True,6441.821546820765,2
다사740468,58,0.30106213679111105,0.45215031498827846,0.04521503149882785,0.4069352834894506,True,10000.000018437639,14
다사736469,59,0.30020811060397656,0.4508676953482371,0.04508676953482371,0.4057809258134134,True,10000.000000080167,8
다사729446,60,0.29771173070573176,0.4471185059969872,0.044711850599698726,0.4024066553972885,True,10000.00026453952,8
다사731458,61,0.29684504810634194,0.44581687831811073,0.04458168783181107,0.40123519048629963,True,9999.999575265092,11
다사742467,62,0.29461994800954405,0.44247511066718354,0.044247511066718356,0.39822759960046517,True,3661.967211228529,6
다사743482,63,0.29409259504584023,0.44168310536492206,0.04416831053649221,0.39751479482842983,True,10000.000000028129,5
다사742476,64,0.2930338378958048,0.44009301042974674,0.04400930104297468,0.39608370938677206,True,10000.000000046351,7
다사731469,65,0.29236381231739056,0.43908673219243927,0.04390867321924393,0.39517805897319536,True,10000.000000109367,5
다사739470,66,0.29034797752969077,0.4360592497466636,0.043605924974666366,0.39245332477199724,True,9999.999982179506,19
다사740472,67,0.2898791230730871,0.43535510045543574,0.043535510045543575,0.39181959040989217,True,9999.999999917072,6
다사749482,68,0.28917244801903275,0.4342937801855052,0.04342937801855052,0.39086440216695467,True,9999.999996711103,11
다사744480,69,0.28805055710319033,0.4326088677737773,0.04326088677737773,0.38934798099639956,True,2804.5009125085,2
다사734454,70,0.2876619841393488,0.43202528928107964,0.04320252892810797,0.3888227603529717,True,10000.000485585222,9
다사741467,71,0.28695046034473554,0.4309566869278078,0.04309566869278078,0.38786101823502706,True,9394.040559983823,11
다사741482,72,0.2860853248514502,0.42965738277097887,0.04296573827709789,0.386691644493881,True,9999.99999994682,5
다사738482,73,0.285633235576786,0.42897841227631295,0.042897841227631295,0.38608057104868165,True,8835.946641932338,6
다사741478,74,0.2846863328720234,0.42755630599358657,0.04275563059935866,0.3848006753942279,True,9759.048895864173,5
다사743477,75,0.2842078563759016,0.426837705837679,0.042683770583767905,0.38415393525391106,True,9999.99999993452,4
다사751482,76,0.2840505682608228,0.4266014826063727,0.04266014826063727,0.3839413343457354,True,9999.999999940472,11
다사729468,77,0.28087636594815074,0.42183430533589766,0.04218343053358977,0.3796508748023079,True,9999.999999911493,8
다사728445,78,0.2797538401136136,0.42014843937122276,0.04201484393712228,0.37813359543410047,True,9999.999688248154,10
다사729469,79,0.2775171866537558,0.41678932029642524,0.041678932029642526,0.3751103882667827,True,9999.999999955879,8
다사728470,80,0.27427514853691276,0.4119202637908186,0.04119202637908186,0.3707282374117367,True,9763.820538903297,8
다사746482,81,0.27382974138682703,0.4112513288481658,0.04112513288481658,0.3701261959633492,True,10000.000000068469,4
다사731462,82,0.2736677331686633,0.41100801672777026,0.04110080167277703,0.36990721505499324,True,9999.999999956824,4
다사727444,83,0.2723435920505484,0.40901935475245205,0.040901935475245205,0.36811741927720687,True,10000.000096116855,14
다사732470,84,0.26895400095989114,0.4039286957421311,0.04039286957421311,0.36353582616791796,True,9999.999999986185,4
다사755484,85,0.2684891862495924,0.40323061354583484,0.04032306135458349,0.36290755219125137,True,9210.57666936479,3
다사744484,86,0.26674250835909813,0.4006073645156255,0.04006073645156255,0.36054662806406296,True,8970.914532038416,4
